WORK,WEEK1,FEEDBACK,WEEK 2,FEEDBACK,WEEK 3
DAY 1,,,,,
FRONT ONE LEG LEGGERISSIMA,"4xrir4""","6,5,5,5 secondi",Uguale,8 sec,Uguslr
PLANCHE TUCK CELESTE,"4xrir4""","4,5,6,5 secondi",Uguale,3 secondi da Ettore,Uguale
TRAZIONI,4x2@20kg,"2 la prima, 2 o 3 la seconda",5x2@20kg,4+,5x2@22.5kg
HSPU,3x2@1kg,"4,3,3 margine",3x3@1kg,3 o 4,3x3@2.5kg
TRAZIONI PESANTI,2x4@10kg,4,2x4@11.5kg,4,2x4@12.5kg
DRAGON FLAG ONE LEG PRESS,3xrir4,,Uguale,Questa dovrebbe essere ISO invece che press. Ho dimenticato quanto tempo ma mi pare 10 sec,Uguale
DAY 2,,,,,
FRONT ADV STACCHI ADV,4x2,4,4x3,4,4x4
SQUAT,4x4@90kg,"3 o 4, piu' sicuro di 4",4x4@92.5kg,3,4x4@95kg
DIP,4x4@25kg,2,5x4@25kg,2 forse 3. Ultima 0,Uguale
MILITARY PRESS,3x2@50kg+1x6@35kg,0 o 1 quelle a 50kg. 4 a 35,Uguale,0 quelle a 50kg. 3 a 35,Uguale
LAT MACHINE,2x6@77.5kg,L'ho dovuta fare su un macchinario diverso un po' piu' screuso. 2.,Uguslr,1,Uguale
DIP AMRAP,AMRAP 8',68 rip,AMRAP 9',70. Sto cotto oggi,Mantieni uguale
TED,2xrir3/4,8,Uguale,,Uguale
DAY 3,,,,,
FRONT ONE LEG TUCK PULLS GIALLA,4xrir3/4,4,Uguale,"6,5,4,3",Uguale
PLANCHE TUCK GIALLA STACCHI,4xrir3/4,3 o 4 rip,Uguslr,"4, pero' bro fino alla terza penso che sto in rir3/4, alla quarta poi diventa rir1. Ultima serie ho fatto 3 rip",Uguale
TRAZIONI ALLA FRONTE,4x2@25kg,3 ultima 2,5x2@25kg,2,1 serie in piu'
HSPU MURO,3x3,2 o 3. Ci stanno 40 gradi a Londra oggi,4x3,3,1 serie in piu'
TRAZIONI STILE MU,3x2,Boh 3/4,3x3,4+ pero' non so se sto facendo bene quello che devo fare,3x4
L SIT ISO,"3xrir3/4""",8 secondi 11 secondi,Uguale,11 sec,Uguale
